Diagnosis,count
bacl pain,2
pih,2
rt shoulder pain a,2
benign paroxysmal positional vertigo,2
scabies for 2 months,2
vesicular rash,2
1yr,2
fever  since 2 days,2
hb 3 gm,2
pain in ear  anorexia,2
osteoarthitis,2
low backache joint pain,2
no complaints now(informant-mother),2
knee pain ( bilateral),2
knee joint pain ( lt.),2
koilonychia,2
hip pain since 6 months,2
varicose pain,2
paronchyia,2
headache urti,2
o abdominal pain,2
headache-due to low bp,2
leucorrhea since 7 months,2
uneven skin tone,2
itching around ear,2
upper respiratory tract infection c weakness c abdomen pain,2
abdo pain,2
abdomen painn,2
back pain headache cough,2
according to pt she is diagnosed,2
2 eczema,2
c appendicitis,2
weakneass,2
swelling in left ankle,2
myalgia [h,2
leucorrhoea cough weakness,2
newly diagnosed dm,2
splash dysurea,2
102,2
pain abdomen 3 days,2
taenia corpora,2
arm; h,2
rt side leg,2
leg pain d,2
consitaption,2
pain abdomen (luq),2
palpitation+,2
fugal infection,2
generalised weankess,2
fever cough cold  anorexia,2
lower  back pain,2
pain in inguinal region,2
htn since 6 months,2
bodyache weakness fever,2
muscular headache,2
itching in the back,2
cough headeache,2
backache n vertigo,2
traumatic pain in thumb,2
-generalised bodypain,2
bodain,2
on medication post angioplasty,2
ringworm in groin,2
tingling sensation in left leg.,2
hypertension(147,2
chest pain+,2
fever weakness cough vomiting,2
renal stone(10mm),2
fever *4 days,2
scabies worm,2
common cold.,2
knee ligament injury,2
chronic otorrhoea,2
acute pharyngitis+ malaise+ myalgia,2
acidity leg pain,2
back pain constipation,2
jocky itch,2
musculoskeletal pain  in back,2
circular rash near private part,2
right shoulder pain for evaluation,2
rt leg pain - h,2
mycosis on lower limb,2
calf cramps,2
bodyache c weakness c backache,2
well controlled,2
back pain (hurt 1month back ),2
backache weakness headache,2
fever intermittent,2
radiating chest pain,2
right pas,2
face iching,2
lower abck pain,2
allergic rashes on forehead,2
vertigo on medication,2
otomycosis..,2
hand pain right side,2
fever x 5,2
warts over face,2
itching bl ear,2
knee injury( fall),2
lesion on scalp,2
fever 5-6 days,2
tinea ptyriasis,2
pain inback,2
severe fatigue,2
lmp: 7-12-23,2
knee pain conjuctivitis,2
cough cold fever pain,2
movement restriction,2
allergic dermatitis over legs,2
acute diarhhoeal disease,2
hypothyroidism since 3yrs,2
72 on no medication,2
4 month of pog,2
conjunctivitis eye pain,2
spine,2
urti- resolving,2
back pain radiating towards leg,2
burn case,2
decreased distant vision,2
lower backache weekness,2
htn cough,2
pain hands feet,2
multivitamin deficiency,2
70 mmhg,2
cold  body pain,2
ear pain body pain,2
htn discontinued medicines,2
sputum x 2d,2
pain at the site of suture,2
chest pain -,2
fever 1mth,2
contact dermatiti,2
pregnancy 32 weeks,2
history of renal stone,2
weakness in antenatal mother,2
ear pain 1 day,2
eyes swelling,2
body pain pain,2
infected boil,2
lcb---16yrs,2
nose itching,2
tingling sensation  in legs,2
neuropathic pain of wrist,2
pregnancy (1st trimester),2
lmp - 20,2
pan chewing++,2
calcium defciency,2
flu  like symptoms-cough,2
hypomennorhorea under evaluation,2
back pain (mc pain),2
kco bp,2
loss of libido,2
tingling sensation  in body,2
6 mths pregnancy,2
cough cold x 5 d,2
numbness of both upper limbs,2
sputum since 2 month,2
burn injury over cheek,2
leg burning,2
cold +,2
weakness since 1 yrs,2
injury to elbow,2
since 1 year,2
backache c indigestion,2
tingling all over body,2
2 months back,2
gastroesophageal reflux,2
atopic dermatitis (intestinal helminthiasis),2
itching over the both hands,2
blackening of face,2
o hysterectomy - 3 month back,2
myaligia,2
vericose  vein,2
: dm (on regular insulin),2
hypertension since 3yrs,2
exacerbation,2
6ma,2
could cough back pain,2
severe,2
sprain lt leg,2
fever cold cough+,2
haemorrhoids (non-bleeding ),2
leg pain  nutritional deficiencies,2
cold k,2
neuropathy+ myalgia,2
occasional burning micturition,2
weakness  - since few days,2
wound on sole,2
nail discolouration,2
o cholecystectomy - 2 year back,2
epigastric pain increases after eating,2
sleepiness,2
hand pain under evaluation,2
pt is lactating mother of 7 month old baby,2
loose motion after last prescription,2
lo bp,2
frequent episodes of atopic dermatitis,2
allergic rhnitis,2
constipation since 10days,2
htn. irregular medication,2
could cold,2
off since 15 days,2
cough nd pain abdomen,2
lmp--14,2
gastritis shortness of breath,2
itching in lt ear,2
dermatitis in calf area since 1month,2
leucorrhoea  leg pain,2
underwt,2
polymyalgia [ weakness ],2
urti since 2 weeks,2
itching over body since 1 months,2
left knee pain -  cause,2
wound  on knee  knee pain,2
stiffness in back,2
chest pain on n off,2
right side flank pain,2
fver weakness,2
fever since many days,2
cough productive in nature,2
fingal infection,2
fe er,2
weaknes since 3days,2
amenorhhoea,2
chest pain 10 days,2
neurological examination needs to be done,2
wisdom tooth,2
skin abrasion,2
low back pain x 6 m,2
asthma on inhaler,2
diabetes.,2
1 pain in pelvic region,2
amenorrhea since last child birth 7 m back,2
itching over body 5days,2
hypotension body ache,2
back pain 1-2 month,2
gastritis+cough,2
arm pain b,2
tingling sensation all' over the body,2
vertigo n anorexia since 1 month,2
cough cold body pain weakness,2
leg pain -  fall 3 days back,2
pt is lactating mother of 3 month old baby,2
body pain constipation,2
weaknrss,2
hx hypotension,2
headache fro evaluation,2
swelling on liver,2
skin problem - since 2 week,2
fever x1wk,2
knee pain. cough,2
o trauma present in past,2
headache x 5 m no trauma,2
anxiety since 1 week,2
irregular menstrual cycle-on treatment,2
hand pain- after injury,2
left heel paresthesia,2
weakness fuc,2
kneepian,2
ringworm  toothache,2
pt doing well,2
hysterectomy done 13yrs back,2
-,2
gerd back ache,2
urti cough,2
pyreia,2
chest pain since 2 month,2
pain  both knee joint,2
viral infection (hypotensive pt.),2
pharyngitiis,2
vit d def,2
known cad,2
back pain since 2months,2
usg showing left renal stone,2
cough and. cold,2
low height,2
anc:7 months pregnant,2
leucorrhoea since 6months,2
gen body itch,2
low appetite weakness,2
pain in abdomen since 1.5 months,2
ht on medications,2
swelling in chest,2
loose stools since two days; no vomiting,2
cauda equina,2
pai,2
intermittent fever since 10days,2
due to eye strain,2
cystic ovary,2
toothache back pain,2
lmp not known to pt,2
pain abdomen since 3 days+,2
acidity ã—1month.,2
refractiv error,2
scabies for 1 year,2
ringworm c weakness c anorexia,2
leg pain[ weakness],2
burning sensation over leg,2
diabetes mallitus,2
achne,2
pain'in hand's,2
mild dry cough since two days,2
o fall from tree 9months back,2
10days,2
cough ( 3 days,2
wrist pain by injury,2
lump in right breast,2
myalgis,2
normal stools today,2
palntar fascitis,2
stomach pain wth flatulence,2
constipation since 1 month,2
88mmhg,2
breathing issues,2
headache body pain acidity,2
post appendectomy,2
bodyache: weakness,2
pain in knee (l),2
bach ache,2
knee pain body pain cough,2
neurological weakness,2
weakness fatigue,2
hypertension- discontinued,2
hgh bp,2
bodyache since 5 day,2
increased sweating,2
irregular  menstruation,2
headache and. gastritis and. weakness,2
leg. pain,2
watery eyes.,2
l) since 3weeks,2
left finger pain,2
dysmenorrhea fibroid,2
weakness - since 5 days,2
o fall from height),2
3 chest pain,2
right hip joint pain,2
bl knee pain,2
burn in leg,2
left knee pain [oa knee ],2
toes pain,2
ringing sensation in ears,2
fever cold cough  since 7 days,2
bodyache on household chores.,2
htn(under medication),2
pain in abdomenn,2
hypovitamiosis,2
leucorrhoea for 2 years,2
swelling legs,2
2yr old child has cough since 3days,2
wet cough [1 week],2
cracking sound,2
shoulder pain  [ weakness ],2
injury 6 months back,2
dry cough x4d,2
malasma,2
border line high bp,2
hypothyroidism since 5yrs,2
exaggerated in summers,2
cp,2
cold pain in abdomen,2
l breast lump,2
gastritis since 6months,2
low grade fever - 3 days,2
headachn,2
right hand pain - weakness,2
left earache+,2
leucorrhea since 8days,2
leucorrhoea   lba,2
nasopharyngitis since 2months,2
spot on face,2
post injury,2
bad smell from mouth,2
low apetite,2
stomach pain - gastritis,2
cough cold  -  urti,2
degenerative bone disease,2
funga,2
restriction of movement present,2
diarrhea weakness,2
premature ageing,2
itching both hand,2
vomating,2
hjeadache,2
cough since 15days after an episode of nasopharyngitis,2
breathlessness-copd,2
ringworm leucorrhea,2
february weakness cough,2
lba   leucorrhoea,2
smoker +,2
anorexia since 5 month,2
acidity since 5 month,2
back pain and.  gastritis weakness,2
amenorrhoea 2months,2
abdominal pain since 20 days,2
no difficulty in movement,2
hive,2
fever cold cough-  urti,2
licoriya,2
rt elbow pain due to fall,2
appetite,2
b. asthma,2
ringworm+ acute pharyngitis,2
refer to ophthalmologist,2
pain in hand since 2 weeks,2
burning micturation since 1 year,2
menorrhagia since four months,2
dizizness,2
allergy  whole body,2
cough-,2
pain abdomen gastritis leucorrhea,2
upper respiratory tract infection c weakness c backache c indigestion,2
nonenone,2
l knee+ leg pain,2
5-6days,2
yellow discoloration of urine,2
leucorrhea since 1 week,2
tonisillitis,2
tinglin of legs,2
86,2
o hysterectomy - 12 year back,2
skin problem leg pain,2
pain abdomen due to trauma,2
abdominal pain since 6months,2
common cold weakness throat pain,2
cold cough pain body since 4 days,2
2nd time,2
dimunition of vision,2
back pain cough fever,2
bp - 150,2
pregnant 4 month,2
fever cough cold back pain,2
paresthesia of hands,2
headache (injury),2
sore throght,2
loose motions since night,2
decresed hearing in both ears,2
cough eczema,2
o hypertension ( not on medication),2
loose motion 5-6 episodes,2
abdominal pain since a month,2
cold cough joint pain,2
cough pain in leg,2
low backache - since 1 year,2
multiple time defecation,2
lower back pain since 10 day,2
right eye -- 6,2
53,2
o injury 5 days,2
dm on erratic rx,2
fever (on medication),2
right lower limb arthralgia,2
back pain problem,2
fever x 5 days,2
lba -,2
age :- 26 yrs,2
psoriasis - b,2
cough since 2-3 month,2
1 menorrhagia,2
pme,2
wound over rt thumb,2
itching in inguinal area,2
abdomen ache since 1months,2
headache+ arthralgia,2
pain in rt. thighs,2
hypertension(bp 166,2
nausea n weakness,2
nsaids allergy,2
myalgia weakness cough,2
polyuria under evaluation,2
right leg cramp,2
urtcaria,2
knee pai.,2
pt not there,2
runny  nose,2
fevercough,2
not cured,2
low back ache x 1m no trauma,2
lba leucorrhea,2
l gastritis,2
vomiting gastritis,2
burning pain in the eyes,2
chest pain  on,2
scaly skin,2
mild fever since 2 day,2
pain below knees,2
lcb - 2 yrs back,2
headache (due to refractive error),2
skin itching in groin,2
anorexia n vertigo,2
peripheral neuropathy cause,2
generalized malaise associated,2
runnny nose,2
eye discharge or pain,2
body pain and. weakness  gastritis,2
milia under eyes,2
vomiting since 2 day,2
weakness 2 days,2
shoulder pain (right side),2
o swelling of legs,2
6. revised 2months back. (anisometropia),2
dyspnea at work,2
appendectomy,2
indigestion n anorexia,2
headache  back pain,2
leg  pain [ weakness ],2
weakness pain hand,2
dyspnoea- 1 year,2
pain in left elbow (  trauma+),2
hemorhhoids,2
liver problem need reports,2
cough weakness 10days,2
fevrile illness,2
no history of tightness,2
pain in rt lowerlimb,2
allergic reactions to unspecified medicines***,2
arthritis  knee c backache c weakness,2
knee pain bilat x 1 y no trauma,2
dry cough 10 d,2
intermittent low grade fever,2
weakness c headache periodical,2
heel problem,2
peri-oral rashes,2
cough since 1 month+,2
left sciatica since 1yr,2
post op status+,2
knee pain+ since 1 year+,2
cough since 3days. no h,2
neck pain ( cervical),2
twins,2
known pcod on treatment,2
bilat knee pain,2
gas .,2
67 mm of hg,2
- fall from bike,2
stomach pain' iching,2
swelling  [ weakness ],2
age :- 50 yrs,2
4  months pregnancy,2
sholuder pain,2
since 5days,2
typoid,2
left arm pain since two days,2
gastritis  associated,2
swollen knee,2
bp border line high,2
colicky,2
fever for 2 months,2
low back ache(due to injury before 6months),2
ringworm adn body pain,2
eye pain discharge,2
pain abdomen  since 4 days,2
weakness gastritis pain,2
bp--141,2
pain back  neye,2
deranged lipid profile,2
5 mths pregnancy,2
gastritis + taenia corporis,2
diabetics,2
anorexia knee pain,2
pain in rib area,2
right hip,2
hypertension - not taking medicines,2
fatigue on evaluation,2
fever -1 week,2
leg pain on rx,2
pain abdomen acidity,2
ringworm on buttock,2
knee pain weakenss,2
edema of legs,2
dark circles around eye,2
lbaneuropathy,2
mild swelling present,2
radiating to ll,2
weakness jointpain,2
ringworm inner thighs for 6 month,2
hair pustules,2
boil pain,2
tinea over legs,2
amenorrhea since 1 year,2
vitamin b12 defciency,2
bp--123,2
premature greying hair,2
cough since 1week after an episode of fever,2
occasional colic abdomen,2
pain in left ul (  exertion+),2
knee pain on,2
htn discontinued medication,2
..,2
pt need weight loss advice,2
diabetes meliitus,2
headache [ migraine  ],2
pain  ear,2
indigestation,2
vomiting under evaluation,2
stools passed after every meal,2
right leg pain( trauma),2
headache x 2m no trauma,2
acidity since 2 months,2
myalgia n backache since 2 months,2
gastrit,2
rigjt shoulder pain,2
neuropathy for evaluation,2
injury from calf,2
weakness pain  body,2
tinea infection (face),2
malaise+ acute sinusitis,2
cracked feels,2
cervical degeneration,2
bodyache gstritis,2
knee pain under evaluation,2
gi upset,2
dysmenirrhoea,2
blurred visison,2
gastro-esophageal reflux disease,2
premenstrual syndrome,2
abrasions on face,2
chronic abdominal pain,2
anoerxia,2
arthralgia+ cough,2
wound due to injury,2
myalgia conjunctivitis anorexia,2
known t2dm under medication,2
back pain due to old injury,2
acidity + since 3 day,2
htn ( not on medication),2
headache- head injury,2
fever cold cough since 1 week,2
radiating to legs,2
knee pa8n,2
no swelling; h,2
o urine,2
weakness for 6 days,2
pain in rt. ankle (  trauma+),2
leucorrhea since 2 month,2
abdominal pain - since 2 days,2
rt.knee,2
leg pain skin problem,2
knee pain c backache c weakness,2
lumbago c weakness c anorexia due to anemia,2
pain in  knees,2
lipomas,2
arthralgia under evaluation,2
itching over body since 1.5 years,2
weakness post diarrhoea,2
knee pain for 2 month,2
fever  for  3 days,2
p4l4a2,2
amenorrhoea 2 months,2
bp--159,2
weak eye sight,2
backache. gastritis,2
chest pain after accident,2
urti wekness,2
gastritis c indigestion c weakness,2
dyslipidemmia,2
no  pain,2
s.cataract,2
ringworm in groin area since 2months,2
v bleeding+,2
amenorrhoea for  2 month,2
headache piles,2
pain in knee since 5 to 6 months,2
pain both palms,2
urti(informant-grand mother),2
headache gastritis backpain,2
lba scabies,2
ear discharge since 2 days,2
bckpain,2
headac,2
iiregular periods,2
myalgias,2
pain in lower abdomen since 2 days,2
fever headach,2
body pain post trauma,2
rt hand numbness,2
eye burning pain,2
case of ovarian cyst,2
anal iching,2
skin itching since 3 days,2
feverlcough,2
itching in rt leg,2
- renal stone,2
itchin,2
itching over hand leg,2
fracture leg,2
anc 7 months,2
oa  both knee,2
no rashes since a month,2
tinea corporis - since 6 month,2
episodes of loss of conciousness,2
allergic sinusitis,2
abdominal pain - gastritis,2
menorrhagia[on meds],2
